Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
11,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Monarch commends NYSC, seeks Permanent Orientation Camp https://t.co/L5HjP2Y07v https://t.co/qCXFa5CfqV",Wed Apr 25 04:04:44 +0000 2018,5,30,en,,False,False,0,1,"<Place id=""00919aab08d48b45"" name=""Gombe"">",[],False,,5,False,False,1988,8011,[<Photo id=988992140645752832>],"Monarch commends NYSC, seeks Permanent Orientation Camp https://t.co/L5HjP2Y07v https://t.co/qCXFa5CfqV"
12,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Respect the tradition of your host communities, Director-General warns Corps Members  https://t.co/hvZ8RFf3V2
#2018A Orientation Camp Tour https://t.co/ggDuajDi6o",Tue Apr 24 19:52:43 +0000 2018,15,64,en,,False,False,0,4,"<Place id=""00919aab08d48b45"" name=""Gombe"">",['2018A'],False,,15,False,False,1988,8011,[<Photo id=988867137396756481>],"Respect the tradition of your host communities, Director-General warns Corps Members  https://t.co/hvZ8RFf3V2
#2018A Orientation Camp Tour https://t.co/ggDuajDi6o"
13,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,Director-General urges Officers to uphold Public Service Rules    https://t.co/qhZzygFP8n https://t.co/f7OPUqlvnq,Tue Jun 12 16:49:00 +0000 2018,15,227,en,,False,False,4,62,"<Place id=""00e55e2b4c491c5f"" name=""Abuja"">",[],False,,15,False,False,1988,8011,"[<Photo id=1006579013643534338>, <Photo id=1006579059260870663>]",Director-General urges Officers to uphold Public Service Rules    https://t.co/qhZzygFP8n https://t.co/f7OPUqlvnq
14,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Orientation Camps: Director-General bemoans facilities, tasks State Governments  https://t.co/PjRD0KPfit
#2018A Orientation Camp Tour. https://t.co/U612e3nzxK",Thu May 03 15:15:57 +0000 2018,13,49,en,,False,False,1,7,"<Place id=""005c6f3641f95852"" name=""Calabar"">",['2018A'],False,,13,False,False,1988,8011,"[<Photo id=992059954583437313>, <Photo id=992060059130781696>, <Photo id=992060124566089728>, <Photo id=992060164567130112>]","Orientation Camps: Director-General bemoans facilities, tasks State Governments  https://t.co/PjRD0KPfit
#2018A Orientation Camp Tour. https://t.co/U612e3nzxK"
15,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"2018 BATCH 'A' ORIENTATION COURSE PASSING-OUT: CONGRATULATIONS TO CORPS MEMBERS
The Management of National Youth Service Corps heartily congratulate the 2018 Batch 'A' Corps Members on the successful completion of the first cardinal programme of the Scheme
https://t.co/OBGRp8ABkH",Wed May 09 10:04:16 +0000 2018,39,130,en,,False,False,3,19,,[],False,,39,False,False,1988,8011,[],"2018 BATCH 'A' ORIENTATION COURSE PASSING-OUT: CONGRATULATIONS TO CORPS MEMBERS
The Management of National Youth Service Corps heartily congratulate the 2018 Batch 'A' Corps Members on the successful completion of the first cardinal programme of the Scheme
https://t.co/OBGRp8ABkH"
16,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Corps Members to note that there is no payment for Relocation and Posting to Place of Primary Assignment. Anyone who make payment in regard to that does that at his or her own risk.
Beware of fraudsters.
https://t.co/lM2q0sxrqT",Fri May 04 05:47:33 +0000 2018,60,118,en,,False,False,7,12,,[],False,,60,False,False,1988,8011,[],"Corps Members to note that there is no payment for Relocation and Posting to Place of Primary Assignment. Anyone who make payment in regard to that does that at his or her own risk.
Beware of fraudsters.
https://t.co/lM2q0sxrqT"
17,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,@Alhadi49001948 No,Wed Apr 25 11:28:43 +0000 2018,0,1,und,,False,False,0,2,,[],,,0,False,False,1988,8011,[],@Alhadi49001948 No
18,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"@ekene_uzo Contact your institution, let them write to us.",Wed Apr 25 11:29:35 +0000 2018,1,1,en,,False,False,0,3,,[],,,1,False,False,1988,8011,[],"@ekene_uzo Contact your institution, let them write to us."
19,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"@GeraldChymeziem Apply for Date of Birth correction on your dashboard, when next the portal opens.",Wed Apr 25 11:30:21 +0000 2018,0,2,en,,False,False,0,0,,[],,,0,False,False,1988,8011,[],"@GeraldChymeziem Apply for Date of Birth correction on your dashboard, when next the portal opens."
20,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,@DamilolaDecarls Your school is the one to make the correction for you online as you have applied.,Wed Apr 25 11:25:47 +0000 2018,0,1,en,,False,False,0,3,,[],,,0,False,False,1988,8011,[],@DamilolaDecarls Your school is the one to make the correction for you online as you have applied.
