Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
11,kiki,https://t.co/sQUGrrm6pR,ObadareKiki,,Mon Feb 21 13:37:23 +0000 2022,2667,2368,2330,23984,@officialnyscng thank you oh https://t.co/tR69NzxBx5,Tue Apr 08 16:16:18 +0000 2025,0,0,en,6,False,False,0,0,,[],False,6,0,False,True,2330,23984,"[{'display_url': 'pic.x.com/tR69NzxBx5', 'expanded_url': 'https://x.com/ObadareKiki/status/1909641460971925900/photo/1', 'id_str': '1909641454374277120', 'indices': [29, 52], 'media_key': '3_1909641454374277120', 'media_url_https': 'https://pbs.twimg.com/media/GoBoyPhW0AA5BsQ.jpg', 'type': 'photo', 'url': 'https://t.co/tR69NzxBx5', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 608, 'w': 498, 'resize': 'fit'}, 'medium': {'h': 608, 'w': 498, 'resize': 'fit'}, 'small': {'h': 608, 'w': 498, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 608, 'width': 498, 'focus_rects': [{'x': 0, 'y': 28, 'w': 498, 'h': 279}, {'x': 0, 'y': 0, 'w': 498, 'h': 498}, {'x': 0, 'y': 0, 'w': 498, 'h': 568}, {'x': 0, 'y': 0, 'w': 304, 'h': 608}, {'x': 0, 'y': 0, 'w': 498, 'h': 608}]}, 'allow_download_status': {'allow_download': True}, 'media_results': {'result': {'media_key': '3_1909641454374277120'}}}]",@officialnyscng thank you oh https://t.co/tR69NzxBx5
12,Lℹ️zzler⚡️,,boi_lizz,Nigeria,Fri Nov 30 17:02:31 +0000 2018,575,490,72,899,"@officialnyscng hello, please I misplaced my nysc certificate, how do I go
About getting another one or a letter of attestation. I have an employment pending because of this please help a brother.",Mon Apr 21 05:33:42 +0000 2025,0,0,en,108,False,False,0,1,,[],,108,0,False,True,72,899,,"@officialnyscng hello, please I misplaced my nysc certificate, how do I go
About getting another one or a letter of attestation. I have an employment pending because of this please help a brother."
13,Fidelity eden,,EdenFidelity,"Bayelsa, Nigeria",Wed Jan 22 17:38:24 +0000 2020,46,107,192,1892,@officialnyscng May God bless their matrimony,Sun May 04 07:29:59 +0000 2025,0,0,en,595,False,False,0,0,,[],,595,0,False,True,192,1892,,@officialnyscng May God bless their matrimony
14,miracle ronke,,MiracleRon52682,"Ilorin, Nigeria",Tue Jun 20 20:24:26 +0000 2023,7,136,3,99,"@officialnyscng I registered since on Tuesday
Till now no call up number
Nigeria is very disappointing ooo",Tue Apr 15 19:38:29 +0000 2025,0,4,en,3063,False,False,0,6,,[],,3063,0,False,False,3,99,,"@officialnyscng I registered since on Tuesday
Till now no call up number
Nigeria is very disappointing ooo"
15,Dan Atim,,OfficialDanAtim,Niger Delta ,Thu Mar 31 19:45:41 +0000 2022,1900,2364,438,16823,@officialnyscng @nysc360 @NGRPresident,Tue Apr 08 17:13:31 +0000 2025,1,1,qam,17,False,False,0,0,,[],,17,1,False,False,438,16823,,@officialnyscng @nysc360 @NGRPresident
16,NE~DU,,KehmeeM,Abuja,Sun Mar 31 05:27:48 +0000 2019,215,466,77,6451,@officialnyscng @nigeriantribune @PoliceNG @inecnigeria @nysc_anambra @OyoCorper @nidcom_gov @TheNationNews @FMINONigeria @NafdacAgency @NYSC_kwarastate I never receive April allowee o,Mon May 05 06:09:08 +0000 2025,0,6,en,314,False,False,0,0,,[],,314,0,False,False,77,6451,,@officialnyscng @nigeriantribune @PoliceNG @inecnigeria @nysc_anambra @OyoCorper @nidcom_gov @TheNationNews @FMINONigeria @NafdacAgency @NYSC_kwarastate I never receive April allowee o
17,AYANGADE VICTOR OWEN,,AyangadeV,,Mon Jun 12 03:25:00 +0000 2023,18,264,1,246,@officialnyscng Congratulations 🎊,Sun May 04 12:27:39 +0000 2025,0,0,en,327,False,False,0,0,,[],,327,0,False,False,1,246,,@officialnyscng Congratulations 🎊
18,Precious Uwakwemdike,,uwakwemdike,"Lagos, Nigeria",Mon Aug 15 08:45:24 +0000 2022,2,62,0,158,@officialnyscng 😐,Mon May 05 06:59:13 +0000 2025,0,0,qme,69,False,False,0,0,,[],,69,0,False,False,0,158,,@officialnyscng 😐
19,☃️☃️,,princessmulan00,,Wed Aug 26 05:01:47 +0000 2015,228,198,39,4040,"@officialnyscng you people will not see this one now, if it’s criticism against the government you will arise! 
Look at the animals in the comment section we share a country with 🤢",Fri Apr 25 07:35:57 +0000 2025,1,3,en,168,False,False,0,1,,[],,168,1,False,False,39,4040,,"@officialnyscng you people will not see this one now, if it’s criticism against the government you will arise! 
Look at the animals in the comment section we share a country with 🤢"
20,||F.O.C||🎓UPDATE,,foc_embrace001,,Fri Mar 22 11:14:08 +0000 2024,1660,63,193,1018,"@officialnyscng What is going on???

YOU ARE IN STREAM 2

ERROR OR CONFIRMED https://t.co/MrhQXEbYAc",Tue Apr 08 14:47:04 +0000 2025,4,15,en,4447,False,False,0,4,,[],False,4447,4,False,False,193,1018,"[{'display_url': 'pic.x.com/MrhQXEbYAc', 'expanded_url': 'https://x.com/foc_embrace001/status/1909619004534055208/photo/1', 'id_str': '1909618995147198464', 'indices': [77, 100], 'media_key': '3_1909618995147198464', 'media_url_https': 'https://pbs.twimg.com/media/GoBUW8YWUAAZCGY.jpg', 'type': 'photo', 'url': 'https://t.co/MrhQXEbYAc', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 2048, 'w': 947, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 555, 'resize': 'fit'}, 'small': {'h': 680, 'w': 314, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 2048, 'width': 947, 'focus_rects': [{'x': 0, 'y': 298, 'w': 947, 'h': 530}, {'x': 0, 'y': 90, 'w': 947, 'h': 947}, {'x': 0, 'y': 23, 'w': 947, 'h': 1080}, {'x': 0, 'y': 0, 'w': 947, 'h': 1894}, {'x': 0, 'y': 0, 'w': 947, 'h': 2048}]}, 'media_results': {'result': {'media_key': '3_1909618995147198464'}}}]","@officialnyscng What is going on???

YOU ARE IN STREAM 2

ERROR OR CONFIRMED https://t.co/MrhQXEbYAc"
