Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
13,💙عاـُشة,,K_Aaishah,"Lagos, Nigeria",Sun Jul 10 20:07:45 +0000 2022,1105,1070,164,19921,"Nysc should not be scraped tbh
Might be underpaid but it's a good transition for a graduate
If you have privileged enough get a good PPA and stag at your parent house, you will be able to save well.
Tell me which Job will I get immediately after Uni that will pay me 160k???",Mon Jul 28 07:45:09 +0000 2025,1,13,en,1225,False,False,3,1,,[],,1225,1,False,False,164,19921,[],"Nysc should not be scraped tbh
Might be underpaid but it's a good transition for a graduate
If you have privileged enough get a good PPA and stag at your parent house, you will be able to save well.
Tell me which Job will I get immediately after Uni that will pay me 160k???"
14,PAPERBOY $$ ✌️,,Sol_Paper_,Earth,Fri Apr 12 06:29:06 +0000 2024,9309,932,2269,18651,"NYSC 2022: N33,000 - $75 

NYSC 2025: N77,000 - $50

Dem reduce salary una Dey happy",Sun Mar 30 12:13:00 +0000 2025,2943,14841,en,598568,True,False,154,373,,[],,598568,2943,False,True,2269,18651,[],"NYSC 2022: N33,000 - $75 

NYSC 2025: N77,000 - $50

Dem reduce salary una Dey happy"
15,ThatBlessedGirl,https://t.co/PRAFplOAjs,BlessedGirl001,United Arab Emirates,Mon Jun 13 01:43:04 +0000 2022,57034,9967,9207,80419,"If FG can't pay Corp members 150k, they should scrap NYSC!!! 77K IS JUST PEANUT!!",Fri Mar 28 13:56:17 +0000 2025,1604,8938,en,406398,False,False,68,173,,[],,406398,1604,False,False,9207,80419,[],"If FG can't pay Corp members 150k, they should scrap NYSC!!! 77K IS JUST PEANUT!!"
16,Alpha Numer3x ♠️,,alphanumerex,Lagos,Tue Oct 17 10:52:06 +0000 2023,7725,1069,2624,12133,Scrap NYSC now.,Wed Jul 09 03:39:03 +0000 2025,0,0,en,248,False,False,0,0,,[],,248,0,False,True,2624,12133,[],Scrap NYSC now.
17,NYSC Chronicles,,nysc_chronicles,,Thu Apr 24 20:25:18 +0000 2025,175,4,351,852,"Many a time we've heard personalities say:

NYSC is proof that Nigeria knows how to waste youth potential in the name of service.

Be honest: Should NYSC be scrapped, reformed, or left the same?

Scrap it 🔥

Reform it ⚙️

Leave it ...

Where do you stand???
Thank you https://t.co/FoUESoC4Fr",Thu Jun 12 13:24:35 +0000 2025,0,1,en,98,False,False,0,0,,[],False,98,0,False,False,351,852,[<Photo id=1933153451568934912>],"Many a time we've heard personalities say:

NYSC is proof that Nigeria knows how to waste youth potential in the name of service.

Be honest: Should NYSC be scrapped, reformed, or left the same?

Scrap it 🔥

Reform it ⚙️

Leave it ...

Where do you stand???
Thank you https://t.co/FoUESoC4Fr"
18,ʙᴀʙʏ ᴛɪɢᴇʀ ᯓᡣ𐭩જ⁀➴,,oghenekevebaby,,Wed Mar 06 10:10:15 +0000 2019,6583,800,1613,60202,They need to scrap nysc bruh😭🤣🤣🤣 skirt???,Sun Jul 27 15:32:11 +0000 2025,0,0,en,257,False,False,0,1,,[],,257,0,False,True,1613,60202,[],They need to scrap nysc bruh😭🤣🤣🤣 skirt???
19,olamide💕,https://t.co/Ki8xlbrYXE,midegoodgirl,"Winnipeg, Manitoba",Fri Apr 10 18:42:19 +0000 2020,767,555,53,3281,"I am no longer interested in NYSC! 
I am no longer interested in NYSC!!
I am no longer interested in NYSC!!! 
Graduated in 2024.. finish NYSC in 2026? No please, don't waste my time
Make una help me find Job or Msc Scholarships 
@nysc360 chop una 77k🙌",Tue May 27 06:57:51 +0000 2025,105,872,en,71756,False,False,26,45,,[],,71756,105,False,True,53,3281,[],"I am no longer interested in NYSC! 
I am no longer interested in NYSC!!
I am no longer interested in NYSC!!! 
Graduated in 2024.. finish NYSC in 2026? No please, don't waste my time
Make una help me find Job or Msc Scholarships 
@nysc360 chop una 77k🙌"
20,Hygieia,,Andjzel,,Sat Aug 20 12:06:44 +0000 2022,229,216,152,11238,Scrap NYSC!!,Sat Jun 14 08:45:38 +0000 2025,1,3,en,114,False,False,0,1,,[],,114,1,False,False,152,11238,[],Scrap NYSC!!
21,thatcanvapro,https://t.co/NAwy3NL6m6,egbokavictory_,Nigeria,Sun Mar 05 13:38:33 +0000 2017,16608,951,3556,62653,"Four frames of last moment. 

NYSC was fun. 

Meet really amazing people. New experiences. And I’ll always recommend it. 

Cox if you missed a chance at making genuine friendships in school, NYSC is the stage you shouldn’t miss. https://t.co/CEHH26IKT1",Thu Oct 31 10:33:41 +0000 2024,32,866,en,22829,True,False,2,65,,[],False,22829,32,False,True,3556,62653,"[<Photo id=1851935541547114496>, <Photo id=1851935541551366144>, <Photo id=1851935541572366336>, <Photo id=1851935541551333377>]","Four frames of last moment. 

NYSC was fun. 

Meet really amazing people. New experiences. And I’ll always recommend it. 

Cox if you missed a chance at making genuine friendships in school, NYSC is the stage you shouldn’t miss. https://t.co/CEHH26IKT1"
22,Babeto 💰,,faithomino,😋,Fri Nov 13 16:41:41 +0000 2009,3214,1843,1088,22477,"Scrap NYSC! You send kids to strange lands with no accommodation, no protection, poor allowances only for their employers  to turn them to errand boys and girls. A waste of one year where they could have gotten jobs, internships and developed skills.
If they even make it alive😔",Wed Jul 28 13:14:35 +0000 2021,1312,2286,en,,False,False,26,27,,[],,,1312,False,False,1088,22477,[],"Scrap NYSC! You send kids to strange lands with no accommodation, no protection, poor allowances only for their employers  to turn them to errand boys and girls. A waste of one year where they could have gotten jobs, internships and developed skills.
If they even make it alive😔"
